"Supplementary data: Test set of cosmetic compounds assess by the Scientific Committee on Consumer Safety and their respective results in the Ames test, the in silico predictions for mutagenicity and in vivo genotoxicity",,,,,,,,,,,,,,,,,,,
"NEG = negative result, POS = positive retult, EQ = equivocal result, N/A = not applicable, INCI = International Nomenclature of Cosmetic Ingredients",,,,,,,,,,,,,,,,,,,
Cas No,INCI,Function,Result Ames test,TEST Predicted Result,,Id,Prediction CAESAR,,Id,Prediction SARPY,,Id,Prediction TOXTREE,DEREK in vitro mutagen,majority prediction,in vivo result,,,
1603-02-7,"2,5,6-Triamino-4-pyrimidinol sulfate",oxidative hair dye,NEG,NEG,,1603-02-7,NEG,NEG,NEG,NEG,,1603-02-7,POS,POS,NEG,NEG,,,
110102-85-7,5-Amino-4-chloro-2-methylphenol hydrochloride,oxidative hair dye,NEG,NEG,,110102-85-7,NEG,NEG,NEG,NEG,,110102-85-7,POS,NEG,NEG,N/A,,,
69-72-7,Salicylic Acid,other,NEG,NEG,,69-72-7,NEG,NEG,NEG,NEG,,69-72-7,NEG,NEG,NEG,N/A,,,
81892-72-0,"1,3-bis-(2,4-Diaminophenoxy)-propane",oxidative and semi-permanent hair dye,NEG,POS,,81892-72-0,POS,,81892-72-0,POS,,81892-72-0,POS,POS,POS,NEG,,,
83-56-7,"1,5-Naphtalenediol / CI 76625",oxidative hair dye,NEG,POS,POS,POS,POS,,83-56-7,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
155601-30-2,"1-Hydroxyethyl-4,5-diamino pyrazole sulphate",oxidative hair dye,NEG,POS,POS,POS,POS,,155601-30-2,POS,POS,POS,POS,POS,POS,NEG,,,
90-15-3,1-Naphtol / CI 76605,oxidative hair dye,NEG,POS,POS,POS,POS,,90-15-3,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
27311-52-0,"2,2'-Methylenebis-4-aminophenol HCl",oxidative and semi-permanent hair dye,NEG,POS,POS,POS,POS,,27311-52-0,NEG,,27311-52-0,POS,NEG,POS,NEG,,,
1004-74-6,"2,4,5,6-Tetraaminopyrimidine",oxidative and semi-permanent hair dye,NEG,NEG,,1004-74-6,POS,,1004-74-6,NEG,,1004-74-6,POS,POS,POS,NEG,,,
84540-47-6,"2,6-Dihydroxy-3,4-dimethylpyridine",oxidative hair dye,NEG,NEG,,84540-47-6,NEG,,84540-47-6,POS,,84540-47-6,POS,NEG,NEG,NEG,,,
56216-28-5,"2,6-Dimethoxy-3,5-pyridinediamine HCl",oxidative hair dye,NEG,POS,POS,POS,POS,,56216-28-5,NEG,,56216-28-5,POS,POS,POS,NEG,,,
582-17-2,"2,-7-Naphtalenediol / CI 76645",oxidative hair dye,NEG,NEG,,582-17-2,POS,,582-17-2,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
16867-03-1,2-Amino-3-hydroxypyridine,oxidative and semi-permanent hair dye,NEG,POS,,16867-03-1,NEG,,16867-03-1,NEG,,16867-03-1,POS,NEG,NEG,NEG,,,
83763-47-7,2-Amino-4-hydroxyethylaminoanisole sulfate,oxidative hair dye,NEG,NEG,,83763-47-7,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
6358-09-4,2-Amino-6-chloro-4-nitrophenol,oxidative and semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
7469-77-4,2-Methyl-1-naphthol,oxidative hair dye,NEG,NEG,,7469-77-4,NEG,NEG,NEG,NEG,,7469-77-4,NEG,NEG,NEG,NEG,,,
55302-96-0,2-Methyl-5-Hydroxyethylaminophenol,oxidative hair dye,NEG,NEG,,55302-96-0,NEG,,55302-96-0,POS,,55302-96-0,NEG,NEG,NEG,N/A,,,
608-25-3,2-Methylresorcinol,oxidative and semi-permanent hair dye,NEG,NEG,,608-25-3,POS,,608-25-3,NEG,,608-25-3,NEG,NEG,NEG,NEG,,,
80062-31-3,2-Nitro-5-glyceryl methylaniline,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
61693-43-4,"3-Amino-2,4-dichlorophenol HCl",oxidative and semi-permanent hair dye,NEG,NEG,,61693-43-4,NEG,,61693-43-4,NEG,,61693-43-4,NEG,NEG,NEG,NEG,,,
59820-63-2,3-Methylamino-4-nitrophenoxyethanol,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,N/A,,,
65235-31-6,3-Nitro-p-hydroxyethylaminophenol,oxidative and semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
2835-95-2,4-Amino-2-hydroxytoluene,oxidative hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
2835-99-6,4-Amino-m-cresol,oxidative hair dye,NEG,NEG,,2835-99-6,POS,,2835-99-6,NEG,,2835-99-6,POS,NEG,NEG,NEG,,,
95-88-5,4-Chlororesorcinol / CI 76510,oxidative hair dye,NEG,NEG,,95-88-5,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
92952-81-3,4-Hydroxypropylamino-3-nitrophenol,oxidative and semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,Y,POS,NEG,,,
36861-47-9,4-Methylbenzylidene Camphor,UV-filter,NEG,NEG,,36861-47-9,NEG,,36861-47-9,NEG,,36861-47-9,POS,NEG,NEG,N/A,,,
80419-48-3,5-amino-6-chloro-o-cresol,oxidative hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,Y,POS,NEG,,,
4368-56-3,Acid Blue 62 / CI 62045,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,POS,NEG,,,
3844-45-9,Acid Blue 9 / CI 42090,semi-permanent hair dye,NEG,NEG,,3844-45-9,POS,POS,POS,POS,,3844-45-9,NEG,NEG,NEG,NEG,,,
4403-90-1,Acid Green 25 / CI 61570,semi-permanent hair dye,NEG,NEG,,4403-90-1,POS,POS,POS,POS,,4403-90-1,POS,NEG,POS,N/A,,,
633-96-5,Acid Orange 7 / CI 15510,semi-permanent hair dye,NEG,NEG,,633-96-5,NEG,,633-96-5,POS,,633-96-5,NEG,NEG,NEG,NEG,,,
2611-82-7,Acid Red 18 / CI 16255,semi-permanent hair dye,NEG,NEG,,2611-82-7,NEG,,2611-82-7,NEG,,2611-82-7,NEG,NEG,NEG,N/A,,,
3567-66-6,Acid Red 33 / CI 17200,semi-permanent hair dye,NEG,NEG,,3567-66-6,POS,,3567-66-6,NEG,,3567-66-6,POS,POS,POS,NEG,,,
3520-42-1,Acid Red 52 / CI 45100,oxidative and semi-permanent hair dye,NEG,N/A,,3520-42-1,POS,,3520-42-1,NEG,,3520-42-1,POS,NEG,POS,NEG,,,
4618-23-9,Acid Red 92 / CI 45410,oxidative and semi-permanent hair dye,NEG,NEG,,4618-23-9,POS,,4618-23-9,NEG,,4618-23-9,POS,NEG,NEG,NEG,,,
4430-18-6,Acid Violet 43 / CI 60730,semi-permanent hair dye,NEG,POS,,4430-18-6,POS,,4430-18-6,POS,,4430-18-6,POS,NEG,POS,NEG,,,
846-70-8,Acid Yellow 1 / CI 10316,oxidative and semi-permanent hair dye,NEG,POS,,846-70-8,NEG,,846-70-8,POS,,846-70-8,NEG,POS,POS,EQ,,,
1934-21-0,Acid Yellow 23 / CI 19140,semi-permanent hair dye,NEG,NEG,,1934-21-0,NEG,,1934-21-0,POS,,1934-21-0,NEG,NEG,NEG,NEG,,,
497-76-7,Arbutin,other,NEG,NEG,,497-76-7,NEG,,497-76-7,NEG,,497-76-7,NEG,NEG,NEG,N/A,,,
68391-30-0,Basic Red 76 / CI 12245,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
68391-31-1,Basic Yellow 57 / CI 12719,semi-permanent hair dye,NEG,NEG,,68391-31-1,POS,POS,POS,POS,,68391-31-1,NEG,NEG,NEG,NEG,,,
68259-00-7,Basic Yellow 87,oxidative and semi-permanent hair dye,NEG,NEG,,68259-00-7,NEG,,68259-00-7,POS,,68259-00-7,NEG,NEG,NEG,NEG,,,
121-54-0,Benzethonium Chloride,preservative,NEG,NEG,,121-54-0,NEG,NEG,NEG,NEG,,121-54-0,NEG,NEG,NEG,N/A,,,
131-57-7,Benzophenone-3,UV-filter,NEG,NEG,,131-57-7,POS,POS,POS,POS,,131-57-7,NEG,NEG,NEG,NEG,,,
149591-38-8,Bis-Hydroxyethyl Biscetyl Malonamide,other,NEG,NEG,,149591-38-8,NEG,,149591-38-8,NEG,,149591-38-8,NEG,NEG,NEG,N/A,,,
112-34-5,Butoxydiglycol,other,NEG,NEG,,112-34-5,NEG,,112-34-5,NEG,,112-34-5,NEG,NEG,NEG,NEG,,,
111-76-2,Butoxyethanol,other,NEG,NEG,,111-76-2,NEG,,111-76-2,NEG,,111-76-2,NEG,NEG,NEG,NEG,,,
52793-97-2,Camphor Benzalkonium Methosulfate,UV-filter,NEG,NEG,,52793-97-2,NEG,,52793-97-2,POS,POS,POS,POS,NEG,NEG,NEG,,,
38083-17-9,Climbazole,preservative,NEG,POS,,38083-17-9,NEG,,38083-17-9,NEG,,38083-17-9,NEG,NEG,NEG,NEG,,,
556-67-2,Cyclomethicone,other,NEG,NEG,,556-67-2,NEG,,556-67-2,NEG,,556-67-2,NEG,NEG,NEG,NEG,,,
84-66-2,Diethyl Phthalate,other,NEG,NEG,,84-66-2,NEG,,84-66-2,NEG,,84-66-2,NEG,NEG,NEG,N/A,,,
111-46-6,Diethylene Glycol,other,NEG,NEG,,111-46-6,NEG,,111-46-6,NEG,,111-46-6,NEG,NEG,NEG,N/A,,,
3131-52-0,Dihydroxyindole,semi-permanent hair dye,NEG,NEG,,3131-52-0,NEG,,3131-52-0,NEG,,3131-52-0,NEG,NEG,NEG,NEG,,,
302776-68-7,Diethylamino Hydroxybenzoyl Hexyl Benzoate,UV-filter,NEG,NEG,,302776-68-7,POS,POS,POS,POS,POS,POS,POS,NEG,POS,N/A,,,
111-90-0,Ethoxydiglycol,UV-filter,NEG,NEG,,111-90-0,NEG,NEG,NEG,NEG,,111-90-0,NEG,NEG,NEG,NEG,,,
60372-77-2,Ethyl Lauroyl Arginate HCl,preservative,NEG,NEG,,60372-77-2,NEG,NEG,NEG,NEG,,60372-77-2,NEG,NEG,NEG,N/A,,,
23920-15-2,HC Blue No. 11,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,N/A,,,
85765-48-6,HC Orange No. 2,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
54381-08-7,HC Orange No. 1,semi-permanent hair dye,NEG,NEG,,54381-08-7,POS,POS,POS,POS,POS,POS,POS,POS,POS,N/A,,,
2784-89-6,HC Red No. 1,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
94158-13-1,HC Red No. 13,oxidative and semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
104226-19-9,HC Violet No. 2,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
109023-83-8,HC Yellow No.  10,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,N/A,,,
10442-83-8,HC Yellow No. 13,oxidative hair dye,NEG,NEG,,10442-83-8,POS,POS,POS,POS,POS,POS,POS,POS,POS,N/A,,,
141973-33-3,HC Yellow No. 9,semi-permanent hair dye,NEG,POS,,141973-33-3,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
3811-75-4,Hexamidine,preservative,NEG,NEG,,3811-75-4,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N/A,,,
118-56-9,Homosalate,UV-filter,NEG,NEG,,118-56-9,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N/A,,,
38866-20-5,Hydroxyanthraquinone Aminopropyl Methyl Morpholinium Methosulfate,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,POS,NEG,,,
100418-33-5,Hydroxyethyl-2-nitro-p-toluidine,oxidative and semi-permanent hair dye,NEG,N/A,,100418-33-5,NEG,NEG,NEG,NEG,,100418-33-5,NEG,NEG,NEG,NEG,,,
94158-14-2,"Hydroxyethyl-3,4-methylenedioxyaniline HCl",oxidative hair dye,NEG,NEG,,94158-14-2,NEG,NEG,NEG,NEG,,94158-14-2,NEG,NEG,NEG,NEG,,,
93841-25-9,Hydroxyethyl-p-phenylenediamine Sulfate,oxidative hair dye,NEG,N/A,,93841-25-9,POS,POS,POS,POS,,93841-25-9,NEG,POS,POS,NEG,,,
91-56-5,Isatin,oxidative and semi-permanent hair dye,NEG,NEG,,91-56-5,POS,,91-56-5,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
3055-99-0,Laureth-9,other,NEG,NEG,,3055-99-0,NEG,,3055-99-0,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
83-72-7,Lawsone / CI 75480,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,,83-72-7,POS,NEG,POS,POS,,,
2682-20-4,Methylisothiazolinone,preservative,NEG,NEG,,2682-20-4,NEG,,2682-20-4,NEG,,2682-20-4,POS,NEG,NEG,NEG,,,
150-13-0,PABA,UV-filter,NEG,NEG,,150-13-0,NEG,,150-13-0,POS,,150-13-0,POS,NEG,NEG,N/A,,,
89-25-8,Phenyl Methyl Pyrazolone,oxidative hair dye,NEG,NEG,,89-25-8,NEG,,89-25-8,POS,,89-25-8,NEG,NEG,NEG,NEG,,,
27503-81-7,Phenylbenzimidazole Sulfonic Acid,UV-filter,NEG,NEG,,27503-81-7,NEG,,27503-81-7,NEG,NEG,NEG,NEG,NEG,NEG,N/A,,,
108-46-3,Resorcinol / CI 76505,oxidative hair dye,NEG,NEG,,108-46-3,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
36701-38-9,Silver Citrate,preservative,NEG,NEG,,36701-38-9,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
112-03-8,Steartrimonium Chloride,other,NEG,NEG,,112-03-8,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N/A,,,
4430-25-5,Tetrabromophenol Blue,oxidative hair dye,NEG,NEG,,4430-25-5,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
13463-67-7,Titanium Dioxide / CI 77891,UV-filter,NEG,N/A,,13463-67-7,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N/A,,,
101-20-2,Triclocarban,other,NEG,NEG,,101-20-2,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N/A,,,
3380-34-5,Triclosan,preservative,NEG,NEG,,3380-34-5,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
288254-16-0,UVASORB® K2A,UV-filter,NEG,NEG,,288254-16-0,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N/A,,,
533-73-3,"1,2,4-Trihydroxybenzene",semi-permanent hair dye,POS,NEG,,533-73-3,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
66422-95-5,"2,4-Diaminophenoxyethanol HCl",oxidative hair dye,POS,NEG,,66422-95-5,POS,,66422-95-5,POS,,66422-95-5,POS,POS,POS,NEG,,,
149330-25-6,"2,6-Dihydroxyethylaminotoluene",oxidative hair dye,POS,POS,,149330-25-6,NEG,,149330-25-6,POS,,149330-25-6,NEG,NEG,NEG,NEG,,,
131657-78-8,2-Chloro-6-ethylamino-4-nitrophenol,oxidative and semi-permanent hair dye,POS,NEG,,131657-78-8,POS,,131657-78-8,POS,,131657-78-8,POS,POS,POS,NEG,,,
99610-72-7,2-Hydroxyethyl Picramic Acid,oxidative and semi-permanent hair dye,POS,POS,,99610-72-7,POS,,99610-72-7,POS,,99610-72-7,POS,POS,POS,NEG,,,
66095-81-6,2-Hydroxyethylamino-5-nitroanisole,semi-permanent hair dye,POS,POS,,66095-81-6,POS,,66095-81-6,POS,,66095-81-6,POS,POS,POS,NEG,,,
117907-43-4,2-Nitro-4-amino-diphenylamine-2’-carboxylic acid,oxidative and semi-permanent hair dye,POS,POS,,117907-43-4,POS,,117907-43-4,POS,,117907-43-4,POS,POS,POS,NEG,,,
610-81-1,4-Amino-3-nitrophenol,oxidative and semi-permanent hair dye,POS,POS,,610-81-1,POS,,610-81-1,POS,,610-81-1,POS,POS,POS,NEG,,,
27080-42-8,4-Nitrophenyl Aminoethylurea,oxidative and semi-permanent hair dye,POS,NEG,,27080-42-8,POS,,27080-42-8,POS,,27080-42-8,POS,POS,POS,NEG,,,
2380-86-1,6-Hydroxyindole,oxidative hair dye,POS,POS,,2380-86-1,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
570-24-1,6-Nitro-o-Toluidine,semi-permanent hair dye,POS,NEG,,570-24-1,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
26381-41-9,Basic Brown 16 / CI 12250,semi-permanent hair dye,POS,POS,,26381-41-9,POS,POS,POS,POS,POS,POS,POS,POS,POS,EQ,,,
68391-32-2,Basic Brown 17 / CI 12251,semi-permanent hair dye,POS,POS,,68391-32-2,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
97404-02-9,Basic Orange 31,oxidative and semi-permanent hair dye,POS,POS,,97404-02-9,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
226940-14-3,Basic Orange 69,oxidative and semi-permanent hair dye,POS,NEG,,226940-14-3,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
77061-58-6,Basic Red 51,oxidative and semi-permanent hair dye,POS,POS,,77061-58-6,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
29539-03-5,Dihydroxyindoline HBr,oxidative and semi-permanent hair dye,POS,POS,,29539-03-5,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
20721-50-0,Disperse Black 9,semi-permanent hair dye,POS,NEG,,20721-50-0,POS,,20721-50-0,POS,,20721-50-0,POS,POS,POS,NEG,,,
3179-89-3,Disperse Red 17 / CI 11210,semi-permanent hair dye,POS,POS,,3179-89-3,POS,,3179-89-3,POS,,3179-89-3,POS,POS,POS,NEG,,,
128-95-0,Disperse Violet 1 / CI 61100,semi-permanent hair dye,POS,POS,,128-95-0,POS,,128-95-0,POS,,128-95-0,POS,POS,POS,NEG,,,
107-22-2,Glyoxal,other,POS,POS,,107-22-2,POS,,107-22-2,NEG,,107-22-2,POS,POS,POS,NEG,,,
104516-93-0,HC Blue No. 12,oxidative and semi-permanent hair dye,POS,POS,,104516-93-0,POS,,104516-93-0,POS,,104516-93-0,POS,POS,POS,NEG,,,
33229-34-4,HC Blue No. 2,semi-permanent hair dye,POS,POS,,33229-34-4,POS,,33229-34-4,POS,,33229-34-4,POS,POS,POS,NEG,,,
90817-34-8,HC Blue No. 7,oxidative hair dye,POS,POS,,90817-34-8,POS,,90817-34-8,NEG,,90817-34-8,POS,POS,POS,NEG,,,
52136-25-1,HC Green No. 1,semi-permanent hair dye,POS,NEG,,52136-25-1,POS,,52136-25-1,POS,,52136-25-1,POS,POS,POS,EQ,,,
81612-54-6,HC Orange No. 3,semi-permanent hair dye,POS,NEG,,81612-54-6,POS,,81612-54-6,POS,,81612-54-6,POS,POS,POS,NEG,,,
95576-92-4 ,HC Red No. 11,semi-permanent and  oxidative hair dye,POS,NEG,,95576-92-4 ,POS,,95576-92-4 ,POS,,95576-92-4 ,POS,POS,POS,N/A,,,
2871-01-4,HC Red No. 3,semi-permanent hair dye,POS,POS,,4/01/2871,POS,,4/01/2871,POS,,4/01/2871,POS,POS,POS,NEG,,,
24905-87-1,HC Red No. 7,semi-permanent hair dye,POS,POS,,24905-87-1,POS,,24905-87-1,POS,,24905-87-1,POS,POS,POS,NEG,,,
13556-29-1,HC Red No. 8,semi-permanent hair dye,POS,NEG,,13556-29-1,POS,,13556-29-1,NEG,NEG,NEG,NEG,NEG,NEG,N/A,,,
82576-75-8,HC Violet No. 1,oxidative and semi-permanent hair dye,POS,POS,,82576-75-8,POS,,82576-75-8,POS,POS,POS,POS,POS,POS,NEG,,,
73388-54-2,HC Yellow No. 11,semi-permanent hair dye,POS,POS,,73388-54-2,POS,,73388-54-2,POS,POS,POS,POS,POS,POS,NEG,,,
59820-43-8,HC Yellow No. 4,semi-permanent hair dye,POS,POS,,59820-43-8,POS,,59820-43-8,POS,POS,POS,POS,POS,POS,NEG,,,
26021-57-8,Hydroxybenzomorpholine,oxidative hair dye,POS,NEG,,26021-57-8,POS,,26021-57-8,POS,,26021-57-8,NEG,NEG,NEG,NEG,,,
501-30-4,Kojic Acid,other,POS,NEG,,501-30-4,NEG,NEG,NEG,NEG,,501-30-4,POS,POS,NEG,NEG,,,
591-27-5,m-Aminophenol / CI 76545,oxidative hair dye,POS,NEG,,591-27-5,POS,,591-27-5,NEG,,591-27-5,POS,NEG,NEG,NEG,,,
54381-16-7,"N,N-Bis(2-hydroxyethyl)-p-phenylenediamine sulfate",oxidative hair dye,POS,NEG,,54381-16-7,POS,,54381-16-7,POS,,54381-16-7,POS,NEG,POS,NEG,,,
84041-77-0,"N,N'-bis(hydroxyethyl)-2-nitro-p-phenylenediamine",oxidative and semi-permanent hair dye,POS,POS,,84041-77-0,POS,,84041-77-0,POS,,84041-77-0,POS,POS,POS,NEG,,, 
144644-13-3,"PEG-3-2',2'-di-p-phenylenediamine",oxidative hair dye,POS,NEG,,144644-13-3,NEG,,144644-13-3,POS,,144644-13-3,POS,NEG,NEG,NEG,,,
96-91-3,Picramic Acid / CI 76540,semi-permanent hair dye,POS,POS,,96-91-3,POS,,96-91-3,POS,,96-91-3,POS,POS,POS,NEG,,,
55-55-0,p-Methylaminophenol sulphate,oxidative hair dye,POS,NEG,,55-55-0,POS,,55-55-0,NEG,,55-55-0,POS,NEG,NEG,NEG,,,
106-50-3,p-Phenylenediamine / CI 76060,oxidative hair dye,POS,NEG,,106-50-3,POS,,106-50-3,POS,,106-50-3,POS,POS,POS,NEG,,,
223398-02-5,"Quinolinium, 4-formyl-1-methyl-, salt with 4-methylbenzenesulfonic acid",oxidative hair dye,POS,NEG,,223398-02-5,POS,,223398-02-5,POS,,223398-02-5,POS,NEG,POS,NEG,,,
41959-35-7,Tetrahydro-6-nitroquinoxaline,oxidative and semi-permanent hair dye,POS,NEG,,41959-35-7,POS,,41959-35-7,POS,,41959-35-7,POS,POS,POS,N/A,,,
95-70-5,"Toluene-2,5-diamine",oxidative hair dye,POS,NEG,,95-70-5,POS,,95-70-5,POS,,95-70-5,POS,POS,POS,NEG,,,
